name,symbol
AIMS APAC REIT,O5RU.SI
Acrophyle Hospitality Trust (USD),XZL.SI
BHG Retail REIT,BMGU.SI
CapitaLand Ascendas REIT,A17U.SI
CapitaLand Ascott Trust,HMN.SI
CapitaLand China Trust,AU8U.SI
CapitaLand Integrated Commercial Trust,C38U.SI
CDL Hospitality Trust,J85.SI
Cromwell European REIT (EUR),CWBU.SI
Daiwa House Logistics Trust,DHLU.SI
Digital Core REIT (USD),DCRU.SI
EC World REIT,BWCU.SI
Elite Commercial REIT (GBP),MXNU.SI
ESR REIT,J91U.SI
Far East Hospitality Trust,Q5T.SI
First REIT,AW9U.SI
Frasers Centrepoint Trust,J69U.SI
Frasers Hospitality Trust,ACV.SI
Frasers Logistics & Commercial Trust,BUOU.SI
IREIT Global,UD1U.SI
Keppel DC REIT,AJBU.SI
Keppel Pacific Oak US REIT (USD),CMOU.SI
Keppel REIT,K71U.SI
Lendlease Global Commercial REIT,JYEU.SI
Lippo Malls Indonesia Retail Trust,D5IU.SI
Manulife US REIT (USD),BTOU.SI
Mapletree Industrial Trust,ME8U.SI
Mapletree Logistics Trust,M44U.SI
Mapletree Pan Asia Commercial Trust,N2IU.SI
OUE REIT,TS0U.SI
Paragon REIT,SK6U.SI
Parkway Life REIT,C2PU.SI
Prime US REIT (USD),OXMU.SI
Sabana Industrial REIT,M1GU.SI
Sasseur REIT,CRPU.SI
Starhill Global REIT,P40U.SI
Suntec REIT,T82U.SI
United Hampshire US REIT (USD),ODBU.SI
